user_id,full_name,email,phone,state_code,signup_date,user_segment,is_active
1,Aryan Maharaj,aryan1@example.com,3218196001,TN,2024-09-04T00:00:00,Retail,True
2,Rushil Saini,rushil2@example.com,7940265423,TG,2024-11-22T00:00:00,Retail,True
3,Gunbir Parmer,gunbir3@example.com,9407816184,KA,2026-04-06T00:00:00,Retail,False
4,Ekaraj Bath,ekaraj4@example.com,4131647525,WB,2025-04-05T00:00:00,Retail,False
5,Onveer Walla,onveer5@example.com,2764835030,WB,2026-06-06T00:00:00,Retail,True
6,Siddharth Murty,siddharth6@example.com,7672423884,AS,2026-04-05T00:00:00,Retail,True
7,Janaki Kanda,janaki7@example.com,8710122691,UP,2026-07-25T00:00:00,Retail,True
8,Zayan Apte,zayan8@example.com,8451462704,WB,2025-07-20T00:00:00,Retail,True
9,Chanchal Tripathi,chanchal9@example.com,2528809570,HR,2025-07-28T00:00:00,Retail,True
10,Dalbir Khosla,dalbir10@example.com,1718227824,AS,2026-02-10T00:00:00,Retail,True
11,Sai Muni,sai11@example.com,5787133150,KA,2026-02-26T00:00:00,Retail,True
12,Abhimanyu Bobal,abhimanyu12@example.com,3105183473,HR,2026-03-24T00:00:00,Retail,True
13,Xavier Solanki,xavier13@example.com,3116566701,GJ,2025-06-02T00:00:00,Premium,True
14,Yuvraj Handa,yuvraj14@example.com,8726247317,TN,2025-09-03T00:00:00,Retail,True
15,Girik Khalsa,girik15@example.com,6773602606,HR,2025-01-23T00:00:00,Retail,True
16,Vidhi Dubey,vidhi16@example.com,4309805009,RJ,2026-07-29T00:00:00,Premium,True
17,Dakshesh Trivedi,dakshesh17@example.com,2191361939,UP,2026-02-07T00:00:00,Retail,True
18,Oni Virk,oni18@example.com,4353462475,MP,2025-05-13T00:00:00,Premium,True
19,Ethan Yogi,ethan19@example.com,8425135427,GJ,2026-07-12T00:00:00,Retail,True
20,Chandani Chawla,chandani20@example.com,4118244935,DL,2025-04-01T00:00:00,SME,True
21,Zayan Behl,zayan21@example.com,6400524278,MP,2025-05-11T00:00:00,Retail,True
22,Faqid Dixit,faqid22@example.com,5982620450,PB,2025-03-15T00:00:00,Retail,True
23,Irya Ray,irya23@example.com,3226025634,AS,2025-01-03T00:00:00,Retail,True
24,Upma Kapadia,upma24@example.com,7543303654,RJ,2026-03-31T00:00:00,Retail,True
25,Garima Bala,garima25@example.com,4294019655,HR,2025-03-22T00:00:00,Premium,True
26,Lekha Gupta,lekha26@example.com,0608835615,OD,2024-11-11T00:00:00,SME,True
27,Yashica More,yashica27@example.com,5648236629,TG,2026-05-14T00:00:00,Retail,True
28,Daksha Mangat,daksha28@example.com,6995777387,KA,2025-09-08T00:00:00,Retail,True
29,Girik Keer,girik29@example.com,3320037917,RJ,2026-02-27T00:00:00,SME,False
30,Warda Ratta,warda30@example.com,2016328708,TN,2026-07-09T00:00:00,SME,True
31,Ucchal Wali,ucchal31@example.com,7986872774,PB,2024-12-02T00:00:00,Retail,True
32,William Maharaj,william32@example.com,1434558122,MH,2025-05-06T00:00:00,Premium,True
33,Devansh Sachdeva,devansh33@example.com,5876036690,TN,2026-05-12T00:00:00,Retail,True
34,Indira Misra,indira34@example.com,6889373467,WB,2025-01-13T00:00:00,Retail,True
35,Noah Sibal,noah35@example.com,9806990162,MH,2026-04-15T00:00:00,Retail,False
36,Ladli Narang,ladli36@example.com,7556464170,HR,2025-06-20T00:00:00,Retail,True
37,Ekapad Baria,ekapad37@example.com,3309232719,KA,2024-11-05T00:00:00,Retail,True
38,Oliver Contractor,oliver38@example.com,4190496631,TG,2024-12-19T00:00:00,Retail,True
39,Jai Barman,jai39@example.com,8651850671,UP,2025-05-08T00:00:00,Retail,True
40,Radhika Goda,radhika40@example.com,9877694531,WB,2026-02-13T00:00:00,SME,True
41,Ladli Nayar,ladli41@example.com,7527354549,KL,2025-09-22T00:00:00,Premium,True
42,Frederick Khurana,frederick42@example.com,7837770143,AS,2026-01-21T00:00:00,Retail,True
43,Urvashi Wali,urvashi43@example.com,6855744431,KA,2025-07-22T00:00:00,Retail,True
44,Rehaan Kalita,rehaan44@example.com,4989413435,GJ,2024-08-17T00:00:00,Retail,True
45,Anusha Bath,anusha45@example.com,8427109477,GJ,2024-10-18T00:00:00,Premium,True
46,Zayyan Sridhar,zayyan46@example.com,1671902294,KA,2026-01-18T00:00:00,Retail,True
47,Upkaar Virk,upkaar47@example.com,7749649909,WB,2026-02-13T00:00:00,Retail,True
48,Finn Dugar,finn48@example.com,2812067974,OD,2025-04-15T00:00:00,SME,True
49,Sudiksha Bobal,sudiksha49@example.com,4936183242,WB,2024-11-14T00:00:00,Retail,True
50,Bhavya Sarna,bhavya50@example.com,7464887719,BR,2025-10-04T00:00:00,Retail,True
51,Atharv Chand,atharv51@example.com,9904902787,TN,2024-10-11T00:00:00,Retail,True
52,Vyanjana Chand,vyanjana52@example.com,5655125674,TN,2025-04-21T00:00:00,Retail,True
53,Gaurang Murty,gaurang53@example.com,5168087603,TG,2025-10-16T00:00:00,Retail,True
54,Riya Behl,riya54@example.com,4824771093,KA,2025-11-06T00:00:00,SME,True
55,Nikita Chander,nikita55@example.com,1712748467,TN,2024-09-30T00:00:00,Retail,True
56,Leela Halder,leela56@example.com,1465840449,MH,2024-11-13T00:00:00,Premium,True
57,Veda Pai,veda57@example.com,8867533963,UP,2025-09-30T00:00:00,Retail,True
58,Lakshmi Raju,lakshmi58@example.com,7028951718,MP,2024-10-09T00:00:00,Retail,False
59,Mohammed Borde,mohammed59@example.com,4596158657,MP,2025-05-08T00:00:00,Premium,True
60,Wahab Mani,wahab60@example.com,1611724005,KL,2025-10-17T00:00:00,Retail,True
61,Raagini Dhingra,raagini61@example.com,8692221969,OD,2025-01-15T00:00:00,Retail,True
62,Vincent Shenoy,vincent62@example.com,7407482175,DL,2026-03-26T00:00:00,Retail,True
63,Tanmayi Mittal,tanmayi63@example.com,6713695944,PB,2024-10-07T00:00:00,Retail,True
64,Chandran Taneja,chandran64@example.com,3953394210,UP,2024-10-07T00:00:00,Premium,True
65,Karan Chana,karan65@example.com,5623285884,UP,2024-10-19T00:00:00,Retail,True
66,Hamsini Contractor,hamsini66@example.com,1236851604,GJ,2025-09-27T00:00:00,Retail,True
67,Adweta Raj,adweta67@example.com,1370985931,GJ,2026-03-25T00:00:00,Retail,True
68,Logan Bath,logan68@example.com,4711382675,BR,2026-06-14T00:00:00,Retail,True
69,Oeshi Chaudhary,oeshi69@example.com,9640537735,RJ,2025-03-07T00:00:00,Retail,True
70,Darsh Rao,darsh70@example.com,3171390053,RJ,2025-09-19T00:00:00,Retail,True
